unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1599856800000,2020-09-11 20:40:00,BTC/USDT,10317.0,10317.01,10314.36,10316.0,32.997684,340398.47755266,342
1599856860000,2020-09-11 20:41:00,BTC/USDT,10316.0,10321.09,10316.0,10319.5,16.328427,168497.70525071,256
1599856920000,2020-09-11 20:42:00,BTC/USDT,10319.5,10320.31,10318.49,10319.34,12.123487,125108.93143614,193
1599856980000,2020-09-11 20:43:00,BTC/USDT,10319.34,10320.14,10318.89,10319.0,13.548103,139806.96348852,187
1599857040000,2020-09-11 20:44:00,BTC/USDT,10318.99,10319.72,10316.58,10319.47,14.466964,149266.70809443,284
1599857100000,2020-09-11 20:45:00,BTC/USDT,10319.46,10323.12,10319.0,10322.5,24.543748,253313.98842742,334
1599857160000,2020-09-11 20:46:00,BTC/USDT,10322.49,10322.58,10320.17,10321.16,10.964691,113172.30358118,206
1599857220000,2020-09-11 20:47:00,BTC/USDT,10321.15,10322.58,10320.53,10320.77,14.117452,145719.58487085,235
1599857280000,2020-09-11 20:48:00,BTC/USDT,10320.77,10321.48,10319.04,10321.39,20.614136,212749.97492336,263
1599857340000,2020-09-11 20:49:00,BTC/USDT,10321.39,10321.39,10316.11,10316.77,17.94755,185181.6963612,272
1599857400000,2020-09-11 20:50:00,BTC/USDT,10316.77,10316.77,10314.93,10314.94,17.747069,183088.29326504,216
1599857460000,2020-09-11 20:51:00,BTC/USDT,10314.93,10314.94,10311.22,10312.05,26.335893,271625.32184127,365
1599857520000,2020-09-11 20:52:00,BTC/USDT,10312.06,10315.88,10312.05,10315.88,10.08114,103989.26635421,166
1599857580000,2020-09-11 20:53:00,BTC/USDT,10315.88,10318.25,10315.88,10318.08,11.742497,121156.63081748,162
1599857640000,2020-09-11 20:54:00,BTC/USDT,10318.08,10318.09,10316.02,10316.22,8.038661,82936.71766997,110
1599857700000,2020-09-11 20:55:00,BTC/USDT,10316.21,10318.01,10316.21,10318.01,14.871792,153439.81816116,179
1599857760000,2020-09-11 20:56:00,BTC/USDT,10318.0,10322.58,10318.0,10319.77,19.424259,200475.05301641,215
1599857820000,2020-09-11 20:57:00,BTC/USDT,10319.78,10321.16,10318.58,10320.6,17.004387,175485.69564129,198
1599857880000,2020-09-11 20:58:00,BTC/USDT,10320.61,10322.0,10320.6,10321.47,8.305654,85726.18520995,165
1599857940000,2020-09-11 20:59:00,BTC/USDT,10321.48,10322.89,10321.47,10322.55,7.404873,76432.18615353,148
1599858000000,2020-09-11 21:00:00,BTC/USDT,10322.56,10327.53,10322.55,10327.33,23.52314,242874.39502039,417
1599858060000,2020-09-11 21:01:00,BTC/USDT,10327.32,10327.57,10327.31,10327.45,9.504974,98161.80520675,157
1599858120000,2020-09-11 21:02:00,BTC/USDT,10327.45,10327.6,10327.45,10327.59,5.479434,56589.26049724,125
1599858180000,2020-09-11 21:03:00,BTC/USDT,10327.59,10328.34,10325.25,10327.77,32.615887,336838.21134999,340
1599858240000,2020-09-11 21:04:00,BTC/USDT,10327.77,10328.09,10327.77,10328.0,19.27624,199082.19200383,192
1599858300000,2020-09-11 21:05:00,BTC/USDT,10328.0,10330.95,10328.0,10330.5,17.11078,176743.69372846,225
1599858360000,2020-09-11 21:06:00,BTC/USDT,10330.52,10331.72,10330.52,10331.7,7.963922,82279.36966917,146
1599858420000,2020-09-11 21:07:00,BTC/USDT,10331.7,10338.14,10331.69,10337.5,34.895038,360640.74911764,360
1599858480000,2020-09-11 21:08:00,BTC/USDT,10337.51,10340.0,10337.27,10338.31,35.013746,361992.54477991,384
1599858540000,2020-09-11 21:09:00,BTC/USDT,10338.42,10338.42,10335.99,10336.53,42.475188,439064.25211039,313
1599858600000,2020-09-11 21:10:00,BTC/USDT,10336.54,10338.53,10336.49,10337.95,24.333562,251548.01158725,274
1599858660000,2020-09-11 21:11:00,BTC/USDT,10337.95,10339.46,10335.41,10335.45,20.153819,208351.36112466,325
1599858720000,2020-09-11 21:12:00,BTC/USDT,10335.46,10336.63,10322.08,10323.81,34.74903,358924.61715209,983
1599858780000,2020-09-11 21:13:00,BTC/USDT,10323.89,10329.23,10323.08,10328.33,26.938856,278168.94586221,524
1599858840000,2020-09-11 21:14:00,BTC/USDT,10328.33,10328.46,10328.08,10328.26,12.023945,124186.36233419,202
1599858900000,2020-09-11 21:15:00,BTC/USDT,10328.26,10328.26,10328.23,10328.23,4.986912,51506.08289558,138
1599858960000,2020-09-11 21:16:00,BTC/USDT,10328.23,10328.24,10328.23,10328.24,4.290315,44311.38849546,111
1599859020000,2020-09-11 21:17:00,BTC/USDT,10328.23,10328.24,10323.46,10326.88,21.147979,218385.34914697,171
1599859080000,2020-09-11 21:18:00,BTC/USDT,10326.89,10327.89,10326.89,10327.39,10.194677,105284.39121599,150
1599859140000,2020-09-11 21:19:00,BTC/USDT,10327.4,10327.4,10325.85,10325.85,16.086206,166126.64855041,211
1599859200000,2020-09-11 21:20:00,BTC/USDT,10325.98,10325.98,10320.8,10321.68,7.52271,77660.22862127,283
1599859260000,2020-09-11 21:21:00,BTC/USDT,10321.9,10321.95,10320.1,10321.19,10.412472,107472.02171754,279
1599859320000,2020-09-11 21:22:00,BTC/USDT,10321.53,10322.16,10320.1,10320.99,7.884209,81376.36108338,232
1599859380000,2020-09-11 21:23:00,BTC/USDT,10321.0,10322.05,10320.43,10320.88,7.307294,75417.89466317,262
1599859440000,2020-09-11 21:24:00,BTC/USDT,10320.75,10320.75,10318.42,10320.0,8.164657,84253.49033124,204
1599859500000,2020-09-11 21:25:00,BTC/USDT,10320.0,10320.01,10318.75,10318.75,4.67501,48245.35290136,107
1599859560000,2020-09-11 21:26:00,BTC/USDT,10318.76,10321.08,10318.66,10320.87,15.344877,158354.04208942,366
1599859620000,2020-09-11 21:27:00,BTC/USDT,10320.87,10322.78,10320.36,10322.53,6.201686,64011.46927962,271
1599859680000,2020-09-11 21:28:00,BTC/USDT,10322.53,10325.0,10322.26,10324.76,17.083643,176374.78748884,504
1599859740000,2020-09-11 21:29:00,BTC/USDT,10324.76,10325.0,10323.16,10324.39,9.680535,99945.36491881,339
1599859800000,2020-09-11 21:30:00,BTC/USDT,10324.39,10324.8,10323.73,10324.07,4.692505,48445.93210478,223
1599859860000,2020-09-11 21:31:00,BTC/USDT,10324.07,10324.31,10323.64,10323.87,5.605102,57866.5787606,157
1599859920000,2020-09-11 21:32:00,BTC/USDT,10323.87,10324.85,10323.78,10324.08,5.384702,55592.85220056,160
1599859980000,2020-09-11 21:33:00,BTC/USDT,10324.15,10324.36,10323.24,10324.08,6.35708,65628.72901632,194
1599860040000,2020-09-11 21:34:00,BTC/USDT,10324.07,10325.0,10323.61,10325.0,8.181851,84471.02060161,240
1599860100000,2020-09-11 21:35:00,BTC/USDT,10324.92,10326.74,10324.23,10326.74,17.132683,176894.23975146,232
1599860160000,2020-09-11 21:36:00,BTC/USDT,10326.9,10333.51,10326.89,10332.54,13.672539,141229.01129139,284
1599860220000,2020-09-11 21:37:00,BTC/USDT,10332.54,10339.91,10332.54,10338.3,11.907869,123096.10060998,352
1599860280000,2020-09-11 21:38:00,BTC/USDT,10338.3,10338.3,10331.44,10338.3,24.841857,256738.15502112,550
